Voltage [V],Capacitance [F],Conductivity [S],Bias Voltage [V],Pad Current [A],InverseCSquare,Ascending,Descending,Is Coarse
44.0,1.35909e-11,1.331528e-07,44.0,1.009524e-05,5.41381693149169e+21,False,True,False
43.5,1.37498e-11,1.351048e-07,43.5,9.915413e-06,5.289410070975545e+21,False,True,False
43.0,1.39026e-11,1.369948e-07,43.0,9.730452e-06,5.173779846891542e+21,False,True,False
42.5,1.40558e-11,1.389088e-07,42.5,9.549431e-06,5.061612128431384e+21,False,True,False
42.0,1.42402e-11,1.411688e-07,42.0,9.400857e-06,4.931372650155292e+21,False,True,False
41.5,1.44109e-11,1.433568e-07,41.5,9.225477e-06,4.815238369370258e+21,False,True,False
41.0,1.45884e-11,1.456378e-07,41.0,9.047278e-06,4.69877527159314e+21,False,True,False
40.5,1.4777e-11,1.479738e-07,40.5,8.893449e-06,4.579599015714111e+21,False,True,False
40.0,1.49859e-11,1.506358e-07,40.0,8.732347e-06,4.452811796116641e+21,False,True,False
39.5,1.51898e-11,1.532368e-07,39.5,8.570873e-06,4.3340696736833754e+21,False,True,False
39.0,1.54155e-11,1.561538e-07,39.0,8.41366e-06,4.2080875695785315e+21,False,True,False
38.5,1.56477e-11,1.591118e-07,38.5,8.251445e-06,4.084124547647384e+21,False,True,False
38.0,1.59001e-11,1.623708e-07,38.0,8.115027e-06,3.955489978649234e+21,False,True,False
37.5,1.61725e-11,1.657688e-07,37.5,7.968031e-06,3.823364297247362e+21,False,True,False
37.0,1.64509e-11,1.691838e-07,37.0,7.819847e-06,3.6950530260692527e+21,False,True,False
36.5,1.67698e-11,1.730678e-07,36.5,7.678227e-06,3.5558565606782654e+21,False,True,False
36.0,1.70865e-11,1.767638e-07,36.0,7.525526e-06,3.425261855424493e+21,False,True,False
35.5,1.74363e-11,1.808448e-07,35.5,7.394877e-06,3.289207975822974e+21,False,True,False
35.0,1.78131e-11,1.850468e-07,35.0,7.251328e-06,3.151526679662224e+21,False,True,False
34.0,1.86427e-11,1.942108e-07,34.0,6.975783e-06,2.8772816643375356e+21,False,True,False
33.0,1.96204e-11,2.044068e-07,33.0,6.736955e-06,2.597671836574907e+21,False,True,False
32.0,2.0701e-11,2.152318e-07,32.0,6.482991e-06,2.3335512815780802e+21,False,True,False
31.0,2.19401e-11,2.269558e-07,31.0,6.243734e-06,2.0774127588626142e+21,False,True,False
30.0,2.33455e-11,2.397758e-07,30.0,6.030599e-06,1.8348207390986278e+21,False,True,False
29.0,2.49213e-11,2.533028e-07,29.0,5.800243e-06,1.610121367984646e+21,False,True,False
28.0,2.67256e-11,2.672348e-07,28.0,5.579482e-06,1.4000549192486895e+21,False,True,False
27.0,2.88677e-11,2.808698e-07,27.0,5.381507e-06,1.1999844914628316e+21,False,True,False
26.0,3.15096e-11,2.925988e-07,26.0,5.186792e-06,1.0071965278072565e+21,False,True,False
25.0,3.48485e-11,3.011588e-07,25.0,4.993715e-06,8.234397376514902e+20,False,True,False
24.0,3.86639e-11,3.044428e-07,24.0,4.812385e-06,6.689423357073572e+20,False,True,False
23.0,4.27597e-11,3.034658e-07,23.0,4.670576e-06,5.4692868409989916e+20,False,True,False
22.0,4.65361e-11,3.005308e-07,22.0,4.527537e-06,4.617639579551622e+20,False,True,False
21.0,4.92784e-11,3.015688e-07,21.0,4.409246e-06,4.1180043693615586e+20,False,True,False
20.0,5.0833e-11,3.086218e-07,20.0,4.291243e-06,3.869978192506476e+20,False,True,False
19.0,5.1973e-11,3.189828e-07,19.0,4.181585e-06,3.702068309543417e+20,False,True,False
18.0,5.2954e-11,3.296698e-07,18.0,4.06208e-06,3.5661734124372034e+20,False,True,False
17.0,5.4038e-11,3.404658e-07,17.0,3.944204e-06,3.4245338710446925e+20,False,True,False
16.0,5.5195e-11,3.518798e-07,16.0,3.830914e-06,3.282468179076463e+20,False,True,False
15.0,5.6417e-11,3.627238e-07,15.0,3.71741e-06,3.141810760180251e+20,False,True,False
14.0,5.7578e-11,3.735318e-07,14.0,3.599984e-06,3.016385533482066e+20,False,True,False
13.0,5.881e-11,3.843578e-07,13.0,3.482734e-06,2.891329858783691e+20,False,True,False
12.0,5.9894e-11,3.952328e-07,12.0,3.356449e-06,2.7876186632536913e+20,False,True,False
11.0,6.1024e-11,4.064598e-07,11.0,3.231596e-06,2.685336143246159e+20,False,True,False
10.0,6.2276e-11,4.182528e-07,10.0,3.100655e-06,2.578449203566754e+20,False,True,False
9.0,6.3526e-11,4.304268e-07,9.0,2.968967e-06,2.4779753364319604e+20,False,True,False
8.0,6.4717e-11,4.433838e-07,8.0,2.827244e-06,2.387609212232864e+20,False,True,False
7.0,6.5974e-11,4.576988e-07,7.0,2.673257e-06,2.2974939040341518e+20,False,True,False
6.0,6.7354e-11,4.733948e-07,6.0,2.517733e-06,2.2043127610181294e+20,False,True,False
5.0,6.8804e-11,4.909388e-07,5.0,2.337777e-06,2.1123828147606454e+20,False,True,False
4.0,7.0295e-11,5.122678e-07,4.0,2.139632e-06,2.023723288503191e+20,False,True,False
3.0,7.1977e-11,5.391698e-07,3.0,1.902576e-06,1.930245361021587e+20,False,True,False
2.0,7.3566e-11,5.763298e-07,2.0,1.607661e-06,1.847760651083861e+20,False,True,False
1.0,7.4536e-11,6.403738e-07,1.0,1.193544e-06,1.799980644304137e+20,False,True,False
0.0,4.70408e-11,9.237438e-07,0.0,-2.415593e-07,4.519085956942818e+20,False,True,False
