row0,col0,row1,col1,res1,err1,row2,col2,res2,err2,row3,col3,res3,err3
2,4,1,3,43.11048738616336,1.3199959034885178,0,3,45.484404971452165,1.122011312863262,1,3,62.84003194361665,0.7389237524157655
2,5,1,4,48.55539013269781,4.294274316979324,0,3,45.45403641010935,3.4169196671969297,0,4,67.74627667622782,2.96514968363374
2,5,1,4,44.023488983080135,1.176052235359954,0,3,42.25954140825774,1.5970533406927254,1,4,61.29170373045574,1.024019628730438
2,5,1,4,45.951127190449036,4.335007210165449,0,4,46.55549650561659,2.6310073631421953,0,4,70.71289713483985,5.205346251741759
2,5,1,4,42.60143337101648,0.9279999647316881,0,4,44.31708250104508,1.0921345754034477,1,4,64.95814744424288,0.918810069282838
2,6,1,5,60.048310912278744,2.874172184181092,0,4,37.17534369917156,5.055260016172487,0,5,74.19237090534507,4.4237538252352415
2,6,1,5,45.20296404640376,1.078862840519752,0,4,42.152697172521265,1.2991060920678943,1,5,65.34024806750112,0.862340183487531
2,6,1,5,48.78655467708104,3.025835444355308,0,5,37.08365017800842,4.390819167320899,0,5,76.09916701069783,3.978913450227351
2,6,1,5,41.77913830245969,1.2538669498422244,0,5,42.43423711480484,1.198224896322201,1,5,64.22850117971095,0.9957610807203927
2,7,1,6,52.39760244294935,4.167646389210213,0,5,37.72697085679603,6.388156784945531,0,6,85.04577106398838,2.874973168403756
2,7,1,6,45.12494707519001,1.291571904194602,0,5,43.186688776521905,1.1000221271502055,1,6,67.36566684527425,0.9334563652513459
2,7,1,6,51.964984418543956,5.347666438661746,0,6,42.90804117424287,4.394973342575829,0,6,84.18590900166767,5.474828836538814
2,7,1,6,41.728754306442916,1.049721267103764,0,6,46.51718828328167,1.281679419316581,1,6,68.03605399427728,1.0933943417590655
2,8,1,7,53.63369061235584,5.08430687036838,0,6,44.3016207147731,3.6867322763676826,0,7,82.68050538341407,3.494420819401144
2,8,1,7,43.69854612068708,1.0971362790831405,0,6,42.329438519383345,1.1726341260698039,1,7,62.31224596478348,0.9681493867264865
2,8,1,7,46.903049594345646,4.962720765245176,0,7,47.06732045904135,4.076914622277101,0,7,77.86682204759552,2.5543610954265694
2,8,1,7,41.68997112442221,1.289657485842743,0,7,44.07180705657413,1.2740305100092932,1,7,60.40103645803901,1.092203751612582
2,8,1,7,48.49402123238943,7.482979543684392,1,7,51.05157259311021,4.449269912812307,1,7,74.2514322993202,3.2084275662668498
2,9,1,8,43.98163302021675,3.391963441509783,0,7,48.210308736528475,6.4367719419786065,0,8,80.788067013689,5.358132760207463
2,9,1,8,45.62224446818568,1.0870435599457675,0,7,44.417420352667285,1.2295383725464077,1,8,67.92389022434487,1.277316822802372
2,9,1,8,47.23051451268382,3.2769592194359136,0,8,39.2002058369413,3.6726049016159843,0,8,82.98097228279518,2.882855234212388
2,9,1,8,47.52318774769665,1.3371387667433448,0,8,43.72911819584089,1.1453136688291807,1,8,66.88296605819748,0.9825743480448528
2,9,1,8,49.46900472351506,3.2419817457485784,1,8,49.85760037880251,3.498212421227479,1,8,69.20053867148769,3.5427487585948247
2,10,1,9,39.503596854579335,3.6433006224992237,0,8,50.24733796734236,2.756915819072988,0,9,81.47497543660015,2.684305403898803
2,10,1,9,46.21571859414668,1.4528617515445075,0,8,42.7799761906346,1.4630280499095085,1,9,65.6181811021716,1.1010379339678504
2,10,1,9,42.12977015051676,3.006294651062216,0,9,47.36362440414391,2.774420606319672,0,9,76.3128165715377,2.256280503838366
2,10,1,9,43.68300310649441,1.2707641059078738,0,9,45.28511329873202,1.1344840514960928,1,9,67.45852641630539,1.0792768126457997
2,10,1,9,43.66561647848131,3.8603725851919606,1,8,47.21219827693218,4.168966379700713,1,9,67.0629974013341,2.7754915001577896
2,10,1,9,38.467356564411176,3.877477212746493,1,9,46.903560266166856,3.2753447810813565,1,9,61.58075746366965,2.8487192591975257
2,11,1,10,48.070122501130925,2.585324039570911,0,9,40.34046811720458,3.871548244359607,0,10,66.12470032238969,2.823078235853162
2,11,1,10,43.38806487127737,1.433998727159921,0,9,46.630915491881076,1.4540249568710855,1,10,65.91842139693026,0.9931180099507257
2,11,1,10,44.54455728441055,3.0636962433826573,0,10,43.03747178107434,2.935722863080914,0,10,80.95192732704382,3.688284925391484
2,11,1,10,45.21939358522914,1.5698227257409498,0,10,42.891086637724364,1.616347383848019,1,10,66.73416583876404,1.0350344060624517
2,11,1,10,53.0722782653455,5.556468431135606,1,9,38.24233022386165,2.4271945992316346,1,10,79.4887394315235,2.878406886891852
2,11,1,10,50.72855092543254,2.1166020172678865,1,10,42.554682828884175,2.62083120545543,1,10,63.71096336118833,2.1900437447061583
2,12,1,11,40.410363213941324,6.6701608787974065,0,10,52.23802488560445,3.4182749013826097,0,11,77.05545378868982,3.4967617068033734
2,12,1,11,45.44576598657926,1.238828162521573,0,10,43.54717584677264,1.4017611757855546,1,11,67.71786355760807,1.212687719712712
2,12,1,11,49.871480793631335,2.473275906339917,0,11,43.777833040242655,4.320301217490842,0,11,88.61294839705772,2.3030613611685857
2,12,1,11,45.50189711066745,1.668839849873911,0,11,44.44449442911614,1.3792482936984527,1,11,64.68779456087991,1.0539975275300937
