Measurement done: 2025-07-22 19:42:09.488798
Voltage SourceMeter: Keithley 2410
Pad Currentmeter:    Keithley 6487

Comments: 
Enter comments here

Number of points for median: 5
Hardware compliance: 5E-6
Software compliance used: False, value: 25μA
Set voltage (V), 	 Measured voltage (V), 	 σ_voltage (V), 	 Total current (A), 	 σ_total,  	 Pad current (A), 	 σ_pad
94.25,	94.27275,	0.00023325307966444298,	1.050714e-07,	1.7287643591409022e-10,	3.926346e-10,	1.2868558611689529e-11
94.5,	94.51431,	0.0002944011775168569,	1.055887e-07,	1.838287760401574e-10,	3.953457e-10,	1.686950785327346e-11
94.75,	94.77406,	0.0005905635061822038,	1.058367e-07,	8.436213559167642e-11,	4.05246e-10,	1.2945682012841e-11
95.0,	95.01572,	0.00022558858702594154,	1.065613e-07,	1.447683977392138e-10,	3.985706e-10,	1.621917123730011e-11
95.25,	95.27553,	0.0005814235302110131,	1.06668e-07,	1.3064654364864367e-10,	3.860618e-10,	1.791468791150907e-11
95.5,	95.51653,	0.00037478673339805176,	1.074994e-07,	1.8333810604484111e-10,	3.864111e-10,	1.813553874938096e-11
95.75,	95.75739,	0.00016924050644439776,	1.076614e-07,	6.253740804471029e-11,	3.823647e-10,	1.4799339226713436e-11
96.0,	96.01666,	0.0003714718235830854,	1.084288e-07,	1.176615858790119e-10,	3.676582e-10,	1.5654910974523674e-11
96.25,	96.25816,	0.0005057872946005491,	1.08712e-07,	1.4103530948257907e-10,	3.706981e-10,	1.6416891117495224e-11
96.5,	96.51749,	0.00031358482177691165,	1.092831e-07,	1.4166853380871754e-10,	3.741282e-10,	1.5770913264695057e-11
96.75,	96.75952,	0.00019905667972533475,	1.098799e-07,	1.6123351452854892e-10,	3.61291e-10,	1.726748690809427e-11
97.0,	97.01851,	0.0002374974780929918,	1.101676e-07,	2.1396948826906717e-10,	3.66282e-10,	1.3426017617360234e-11
97.25,	97.26019,	0.00022746677428979686,	1.108434e-07,	5.886847627040538e-11,	3.64228e-10,	1.927236914356918e-11
97.5,	97.51858,	0.00040229626787118244,	1.116572e-07,	1.7845173816313426e-10,	3.642898e-10,	2.4495547220054743e-11
