Measurement done: 2025-07-22 17:36:20.892561
Voltage SourceMeter: Keithley 2410
Pad Currentmeter:    Keithley 6487

Comments: 
Enter comments here

Number of points for median: 5
Hardware compliance: 5E-6
Software compliance used: False, value: 25μA
Set voltage (V), 	 Measured voltage (V), 	 σ_voltage (V), 	 Total current (A), 	 σ_total,  	 Pad current (A), 	 σ_pad
78.0,	78.02329,	0.000445594031933808,	8.227052e-08,	1.3253983764496073e-10,	6.827363e-10,	1.1552723565916485e-11
79.0,	79.02364,	0.0003068430123527766,	8.312528e-08,	1.380107249360271e-10,	7.032728e-10,	1.4277329577420924e-11
80.0,	80.02629,	0.000573874777525633,	8.462691e-08,	1.354037306960721e-10,	7.032613e-10,	1.057029380966344e-11
81.0,	81.02758,	0.00014999729660097468,	8.561581e-08,	1.0151237397575391e-10,	7.069471e-10,	1.3611106240443249e-11
82.0,	82.0108,	0.00026727220460611144,	8.632756e-08,	1.0494313140223462e-10,	7.180256e-10,	1.3264916815021693e-11
83.0,	83.01247,	0.0005158976100213145,	8.746143e-08,	1.3650130179690186e-10,	7.192172e-10,	1.1369430202275445e-11
84.0,	84.01275,	0.00044715245503181857,	8.908646e-08,	1.190771065502206e-10,	7.316923e-10,	1.3599732582346429e-11
85.0,	85.01672,	0.0002361899861312342,	9.025634e-08,	1.474363495739169e-10,	7.34547e-10,	1.226349075835001e-11
86.0,	86.01825,	0.0005040807469150479,	9.134443e-08,	2.1087847455402387e-10,	7.389104e-10,	1.2896685134721006e-11
87.0,	87.01828,	0.0004881484458408968,	9.251181e-08,	1.3097063586090957e-10,	7.470699e-10,	1.348111851902284e-11
88.0,	88.02035,	0.00021348637198256463,	9.419311e-08,	1.5390965113868523e-10,	7.583286e-10,	1.470234532944025e-11
89.0,	89.02169,	0.00021107196455234792,	9.558391e-08,	1.423920931159713e-10,	7.535183e-10,	1.3844569022726645e-11
90.0,	90.02538,	0.000309945661294504,	9.696045e-08,	3.584585925647969e-11,	7.683955e-10,	1.3264064571191511e-11
100.0,	100.0251,	0.000595441996253751,	1.18814e-07,	6.349809847062042e-10,	2.105099e-09,	1.2412669006019828e-10
110.0,	110.0034,	0.00041144497096616827,	1.602068e-07,	3.906892130494214e-10,	2.314279e-09,	1.1178812953580644e-11
120.0,	119.9969,	0.000346034044563967,	2.481768e-07,	3.46821251532186e-10,	2.439066e-09,	1.0446736044578304e-11
130.0,	129.9963,	0.00023090542505917788,	4.100205e-07,	7.755386991331939e-10,	2.557375e-09,	1.1440018726292728e-11
140.0,	139.9812,	0.002715203601993216,	6.881536e-07,	1.1796538534410773e-08,	2.676322e-09,	1.9600615135546095e-11
150.0,	149.9873,	0.00043725090385028626,	1.103512e-06,	2.4320120756679893e-09,	2.795049e-09,	3.0171300005536267e-11
160.0,	159.9922,	0.0004702851505305559,	1.685548e-06,	2.464611790451807e-09,	2.9192e-09,	1.3341011958296841e-11
170.0,	169.9992,	0.0003899398471974378,	2.385432e-06,	2.8016866335548634e-09,	3.038797e-09,	1.5889086370274e-11
180.0,	180.0052,	0.0005657591461970108,	3.239462e-06,	3.4150553413379894e-09,	3.178804e-09,	1.8793119627888438e-11
190.0,	190.0054,	0.00048029434783561316,	4.189942e-06,	3.0790971982074332e-09,	3.31382e-09,	4.616839652645773e-10
200.0,	198.328,	0.02161797124902328,	5.000093e-06,	2.906206670120112e-11,	8.781734e-10,	4.846868326002683e-10
END
