Measurement done: 2025-07-22 22:04:15.954739
Voltage SourceMeter: Keithley 2410
Pad Currentmeter:    Keithley 6487

Comments: 
Enter comments here

Number of points for median: 5
Hardware compliance: 5E-6
Software compliance used: False, value: 25μA
Set voltage (V), 	 Measured voltage (V), 	 σ_voltage (V), 	 Total current (A), 	 σ_total,  	 Pad current (A), 	 σ_pad
91.75,	91.7683,	0.00025553210543483094,	1.002953e-07,	1.3997647585446447e-10,	2.561489e-10,	3.537140280099662e-12
92.0,	92.00989,	0.0003581058671958975,	1.0073e-07,	1.187185854347054e-10,	2.553273e-10,	4.086760832138833e-12
92.25,	92.27077,	0.00024425343823469256,	1.012778e-07,	1.964841423458302e-10,	2.512603e-10,	3.3050850100556703e-12
92.5,	92.51224,	0.0004286826433019777,	1.016235e-07,	1.3233530736309565e-10,	2.592299e-10,	7.014218948504764e-12
92.75,	92.77254,	0.000655434165894584,	1.015185e-07,	9.291793338206984e-11,	2.535403e-10,	4.287457511448367e-12
93.0,	93.01231,	0.0004068533142548211,	1.02689e-07,	4.8913970058414215e-11,	2.539922e-10,	3.6125575149118445e-12
93.25,	93.27363,	0.00017665188543341019,	1.027221e-07,	1.4302082959922845e-10,	2.508701e-10,	2.9408893123904842e-12
93.5,	93.51408,	0.0006123301279597228,	1.028918e-07,	1.7778873711637105e-10,	2.506031e-10,	6.028250897437242e-12
93.75,	93.77333,	0.00026612791056597083,	1.034353e-07,	2.4140371062637714e-10,	1.260497e-10,	7.250506347950268e-11
94.0,	94.01591,	0.00041367938094863014,	1.04116e-07,	5.22822246264375e-11,	2.648371e-10,	1.4225194078745785e-11
94.25,	94.275,	0.00041326691498453033,	1.046729e-07,	1.3469043168025134e-10,	1.886756e-10,	3.8951898251587535e-11
94.5,	94.51562,	0.0004397951583403902,	1.05018e-07,	1.1468234058585909e-10,	2.41545e-10,	5.613360623020492e-12
94.75,	94.77628,	0.00021822272805783249,	1.05205e-07,	1.0780764970169755e-10,	2.533966e-10,	3.5896120336684663e-12
95.0,	95.01741,	0.00046162227772260665,	1.062768e-07,	6.880110230921887e-11,	2.39491e-10,	5.125398438515241e-12
95.25,	95.27707,	0.0001545886364416496,	1.067256e-07,	9.697710199532488e-11,	2.367387e-10,	5.808307729136472e-12
95.5,	95.51866,	0.0006516889187892734,	1.06716e-07,	1.0084459591160567e-10,	2.39491e-10,	5.044887771335376e-12
95.75,	95.7592,	0.0002576101768447019,	1.073691e-07,	1.1938937813474018e-10,	2.530063e-10,	7.739714994813095e-12
96.0,	96.0181,	0.00012179368995066847,	1.078123e-07,	1.1322322309931281e-10,	2.907584e-10,	1.792769047382602e-11
96.25,	96.25954,	0.0004437045616440294,	1.081655e-07,	1.3103906897874807e-10,	2.435168e-10,	2.2282232802687296e-12
96.5,	96.5172,	0.0004660614835632109,	1.091747e-07,	3.8121028277793576e-11,	2.412369e-10,	4.350794603636307e-12
96.75,	96.75952,	0.00016781310004479824,	1.093449e-07,	6.248865782014675e-11,	2.406412e-10,	4.367310324124156e-12
97.0,	97.01917,	0.00020098630783627853,	1.101592e-07,	4.996251209492561e-11,	2.434757e-10,	4.188961610057673e-12
97.25,	97.26093,	0.0004318556488953573,	1.106632e-07,	9.915711914750883e-11,	2.366565e-10,	2.8671960037297786e-12
97.5,	97.52062,	0.000492295666920606,	1.10898e-07,	5.2864495723321304e-11,	2.390186e-10,	5.396405819168578e-12
97.75,	97.76286,	0.00030300445360438566,	1.114555e-07,	5.4837725256196564e-11,	2.417709e-10,	2.16701500716238e-12
98.0,	98.02187,	0.00019902511241587617,	1.124498e-07,	1.052350437837214e-10,	2.315832e-10,	4.9562605038157345e-12
98.25,	98.26207,	0.00030162085083999183,	1.132022e-07,	1.3443546636610066e-10,	2.436606e-10,	5.028295692288385e-12
98.5,	98.52186,	0.00040756969705407867,	1.133873e-07,	4.4138951226222664e-11,	2.362868e-10,	4.680636888832427e-12
98.75,	98.7639,	0.00039979401975928896,	1.140451e-07,	2.0088576854620703e-10,	2.422228e-10,	4.0993798137571935e-12
99.0,	99.02293,	0.0003881564092968112,	1.145517e-07,	1.172418034719401e-10,	2.422844e-10,	5.893270893385717e-13
99.25,	99.26409,	0.00029906562030673057,	1.155469e-07,	1.6021230709620752e-10,	1.005598e-10,	2.5104243432964404e-11
99.5,	99.52362,	0.0001536568097696192,	1.155899e-07,	2.1044228865398748e-10,	2.577304e-10,	1.0002851140128217e-11
99.75,	99.76473,	0.00023590478982913035,	1.167628e-07,	1.0526883804130534e-10,	2.459405e-10,	1.2765152124808597e-11
100.0,	100.0238,	0.00024523266374814874,	1.177438e-07,	1.2562360738841049e-10,	2.394294e-10,	5.397545554318764e-12
101.0,	101.0066,	0.00034732860218807706,	1.201641e-07,	6.404017923881959e-11,	2.485285e-10,	8.12033827576033e-12
102.0,	102.0082,	9.474164348419946e-05,	1.23358e-07,	8.872526838863054e-11,	2.464745e-10,	3.897912018115684e-12
103.0,	103.011,	0.0003990411853959008,	1.263651e-07,	1.824067251766004e-10,	2.58901e-10,	8.39545491193543e-12
105.0,	105.0153,	0.00029415716489542064,	1.329589e-07,	2.0932545677917521e-10,	2.577304e-10,	4.9090268053951655e-12
107.0,	107.0183,	0.00022339750065039857,	1.413878e-07,	1.0124202758046082e-10,	2.634405e-10,	3.4171188073766614e-12
110.0,	110.0046,	0.00031847851232950957,	1.541699e-07,	5.486558513428241e-11,	2.70999e-10,	4.2250255885576054e-12
114.0,	114.0066,	0.00017622964386036639,	1.765553e-07,	1.4419704407115243e-10,	2.798518e-10,	3.145113539180534e-12
118.0,	118.0137,	0.00033037539975695534,	2.054629e-07,	3.573881090025759e-11,	2.826246e-10,	1.208161397755715e-11
122.0,	121.9998,	0.0006971079569290743,	2.430337e-07,	1.230125768992027e-10,	3.004327e-10,	1.977978187257922e-12
127.0,	127.0084,	0.00037539695052095823,	3.027606e-07,	2.332736557002583e-10,	3.164947e-10,	2.671037362778567e-12
132.0,	132.0012,	0.0003506720867698128,	3.815594e-07,	1.9209341124617814e-10,	3.345286e-10,	1.0741804724835264e-12
138.0,	137.9939,	0.0002944621490770411,	5.06578e-07,	4.088889034979694e-10,	3.469757e-10,	2.5573684577498103e-12
144.0,	143.9889,	0.0013151696298496142,	6.730783e-07,	2.9986105834494353e-10,	3.623394e-10,	3.774663997235527e-12
150.0,	149.7585,	0.054021228186716376,	8.681151e-07,	2.3573759486222024e-09,	3.852414e-10,	1.5264035797891595e-11
157.0,	156.9862,	0.00014554487440024554,	1.168082e-06,	2.82854459639264e-09,	3.788536e-10,	1.522435310356899e-10
164.0,	164.002,	0.00039859105419199346,	1.525138e-06,	2.028200448250775e-09,	4.09355e-10,	5.602888739215725e-12
172.0,	172.004,	0.0002879896631032221,	2.000947e-06,	7.447825772744251e-10,	4.159073e-10,	5.263965220829742e-12
180.0,	180.0048,	0.00035625881491763145,	2.546608e-06,	9.924529440091226e-10,	4.297511e-10,	9.67018258514434e-12
189.0,	189.0024,	0.00035651067696021416,	3.251255e-06,	7.024432963948052e-10,	4.628203e-10,	1.9819762268579885e-12
200.0,	200.0106,	0.0005235708156200422,	4.215603e-06,	1.407187287713693e-09,	4.82107e-10,	9.959405604001622e-13
END
